taxid	species	genus	family	order	class	origin_probe_sequences	tiling_probe_sequences	kmer_filter_removed	eprobe_filter_removed	filtered_probe_retained
9843	Vicugna vicugna	Vicugna	Camelidae	Artiodactyla	Mammalia	3208	0	341	1595	1272
9852	Alces alces	Alces	Cervidae	Artiodactyla	Mammalia	3275	3275	0	0	3275
9860	Cervus elaphus	Cervus	Cervidae	Artiodactyla	Mammalia	3263	0	2602	438	223
84702	Cervus hanglu	Cervus	Cervidae	Artiodactyla	Mammalia	3261	0	445	1834	982
37550	Cervus nippon	Cervus	Cervidae	Artiodactyla	Mammalia	3278	0	2514	492	272
109298	Elaphodus cephalophus	Elaphodus	Cervidae	Artiodactyla	Mammalia	3261	0	1906	884	471
9883	Hydropotes inermis	Hydropotes	Cervidae	Artiodactyla	Mammalia	3262	0	1343	1417	502
71854	Muntiacus crinifrons	Muntiacus	Cervidae	Artiodactyla	Mammalia	3263	0	284	1918	1061
9888	Muntiacus muntjak	Muntiacus	Cervidae	Artiodactyla	Mammalia	3262	0	2652	387	223
9886	Muntiacus reevesi	Muntiacus	Cervidae	Artiodactyla	Mammalia	3262	0	664	1722	876
9872	Odocoileus hemionus	Odocoileus	Cervidae	Artiodactyla	Mammalia	3288	0	267	2102	919
9874	Odocoileus virginianus	Odocoileus	Cervidae	Artiodactyla	Mammalia	3287	0	1401	1276	610
9870	Rangifer tarandus	Rangifer	Cervidae	Artiodactyla	Mammalia	3264	0	1274	1462	528
399782	Rusa unicolor	Rusa	Cervidae	Artiodactyla	Mammalia	3291	0	453	1903	935
103584	Delphinus capensis	Delphinus	Delphinidae	Artiodactyla	Mammalia	3267	0	1294	1238	735
83653	Grampus griseus	Grampus	Delphinidae	Artiodactyla	Mammalia	3268	0	417	1653	1198
27610	Lagenorhynchus albirostris	Lagenorhynchus	Delphinidae	Artiodactyla	Mammalia	3270	0	653	1576	1041
103600	Sousa chinensis	Sousa	Delphinidae	Artiodactyla	Mammalia	3269	0	1028	1349	892
9735	Stenella attenuata	Stenella	Delphinidae	Artiodactyla	Mammalia	3268	3268	0	0	3268
9737	Stenella coeruleoalba	Stenella	Delphinidae	Artiodactyla	Mammalia	3268	0	1353	1195	720
79784	Tursiops aduncus	Tursiops	Delphinidae	Artiodactyla	Mammalia	3267	0	2115	707	445
9739	Tursiops truncatus	Tursiops	Delphinidae	Artiodactyla	Mammalia	3269	0	1977	748	544
9764	Eschrichtius robustus	Eschrichtius	Eschrichtiidae	Artiodactyla	Mammalia	3274	3274	0	0	3274
439323	Giraffa giraffa	Giraffa	Giraffidae	Artiodactyla	Mammalia	3278	3278	0	0	3278
9833	Hippopotamus amphibius	Hippopotamus	Hippopotamidae	Artiodactyla	Mammalia	3273	3273	0	0	3273
9725	Inia geoffrensis	Inia	Iniidae	Artiodactyla	Mammalia	3309	3309	0	0	3309
118797	Lipotes vexillifer	Lipotes	Lipotidae	Artiodactyla	Mammalia	3270	3270	0	0	3270
9749	Delphinapterus leucas	Delphinapterus	Monodontidae	Artiodactyla	Mammalia	3268	0	468	1475	1325
40151	Monodon monoceros	Monodon	Monodontidae	Artiodactyla	Mammalia	3268	0	826	1304	1138
27604	Caperea marginata	Caperea	Neobalaenidae	Artiodactyla	Mammalia	3268	3268	0	0	3268
9742	Phocoena phocoena	Phocoena	Phocoenidae	Artiodactyla	Mammalia	3268	3268	0	0	3268
27615	Kogia breviceps	Kogia	Physeteridae	Artiodactyla	Mammalia	3272	0	155	1323	1794
9755	Physeter catodon	Physeter	Physeteridae	Artiodactyla	Mammalia	3277	3277	0	0	3277
48752	Platanista minor	Platanista	Platanistidae	Artiodactyla	Mammalia	3256	3256	0	0	3256
48723	Pontoporia blainvillei	Pontoporia	Pontoporiidae	Artiodactyla	Mammalia	3310	3310	0	0	3310
41426	Phacochoerus africanus	Phacochoerus	Suidae	Artiodactyla	Mammalia	3335	0	211	1857	1267
9823	Sus scrofa	Sus	Suidae	Artiodactyla	Mammalia	3344	3344	0	0	3344
9829	Dicotyles tajacu	Dicotyles	Tayassuidae	Artiodactyla	Mammalia	3359	3359	0	0	3359
1983451	Platygonus compressus	Platygonus	Tayassuidae	Artiodactyla	Mammalia	3348	0	151	1732	1465
48742	Berardius bairdii	Berardius	Ziphiidae	Artiodactyla	Mammalia	3260	3260	0	0	3260
48744	Hyperoodon ampullatus	Hyperoodon	Ziphiidae	Artiodactyla	Mammalia	3260	0	459	1599	1202
9649	Ailurus fulgens	Ailurus	Ailuridae	Carnivora	Mammalia	3290	3290	0	0	3290
424585	Ailurus styani	Ailurus	Ailuridae	Carnivora	Mammalia	3266	0	106	2119	1041
9614	Canis latrans	Canis	Canidae	Carnivora	Mammalia	3336	0	484	1645	1207
9612	Canis lupus	Canis	Canidae	Carnivora	Mammalia	3336	3336	0	0	3336
68730	Cuon alpinus	Cuon	Canidae	Carnivora	Mammalia	3326	0	141	1967	1218
494514	Vulpes lagopus	Vulpes	Canidae	Carnivora	Mammalia	3322	0	671	1421	1230
9627	Vulpes vulpes	Vulpes	Canidae	Carnivora	Mammalia	3354	0	1168	1194	992
32536	Acinonyx jubatus	Acinonyx	Felidae	Carnivora	Mammalia	3401	0	481	1756	1164
9685	Felis catus	Felis	Felidae	Carnivora	Mammalia	3393	3393	0	0	3393
2048657	Homotherium latidens	Homotherium	Felidae	Carnivora	Mammalia	3085	0	1814	759	512
61383	Lynx canadensis	Lynx	Felidae	Carnivora	Mammalia	3324	0	291	1537	1496
61384	Lynx rufus	Lynx	Felidae	Carnivora	Mammalia	3402	0	308	1585	1509
61452	Neofelis nebulosa	Neofelis	Felidae	Carnivora	Mammalia	3360	0	756	1324	1280
9689	Panthera leo	Panthera	Felidae	Carnivora	Mammalia	3355	0	1118	1165	1072
9690	Panthera onca	Panthera	Felidae	Carnivora	Mammalia	3401	0	1724	960	717
9691	Panthera pardus	Panthera	Felidae	Carnivora	Mammalia	3384	0	2441	527	416
2770979	Panthera spelaea	Panthera	Felidae	Carnivora	Mammalia	3329	0	946	1230	1153
9694	Panthera tigris	Panthera	Felidae	Carnivora	Mammalia	3388	0	791	1306	1291
29064	Panthera uncia	Panthera	Felidae	Carnivora	Mammalia	3346	0	1108	1190	1048
9696	Puma concolor	Puma	Felidae	Carnivora	Mammalia	3422	0	887	1451	1084
339609	Smilodon populator	Smilodon	Felidae	Carnivora	Mammalia	3083	0	208	1854	1021
140016	Urva javanica	Urva	Herpestidae	Carnivora	Mammalia	3344	3344	0	0	3344
30548	Mephitis mephitis	Mephitis	Mephitidae	Carnivora	Mammalia	3299	3299	0	0	3299
30552	Spilogale putorius	Spilogale	Mephitidae	Carnivora	Mammalia	3311	0	3083	133	95
34882	Enhydra lutris	Enhydra	Mustelidae	Carnivora	Mammalia	3277	0	186	1618	1473
48420	Gulo gulo	Gulo	Mustelidae	Carnivora	Mammalia	3299	0	411	1484	1404
9657	Lutra lutra	Lutra	Mustelidae	Carnivora	Mammalia	3298	3298	0	0	3298
9660	Martes americana	Martes	Mustelidae	Carnivora	Mammalia	3294	0	817	1122	1355
74864	Martes flavigula	Martes	Mustelidae	Carnivora	Mammalia	3301	0	402	1498	1401
36721	Martes melampus	Martes	Mustelidae	Carnivora	Mammalia	3291	0	289	1342	1660
36722	Martes zibellina	Martes	Mustelidae	Carnivora	Mammalia	3296	0	1464	897	935
191034	Meles anakuma	Meles	Mustelidae	Carnivora	Mammalia	3290	0	203	1841	1246
9662	Meles meles	Meles	Mustelidae	Carnivora	Mammalia	3280	0	663	1574	1043
36723	Mustela erminea	Mustela	Mustelidae	Carnivora	Mammalia	3285	0	1007	1291	987
77151	Mustela nigripes	Mustela	Mustelidae	Carnivora	Mammalia	3302	0	254	1731	1317
36239	Mustela nivalis	Mustela	Mustelidae	Carnivora	Mammalia	3294	0	286	1701	1307
452646	Neogale vison	Neogale	Mustelidae	Carnivora	Mammalia	3302	0	906	1491	905
76720	Pekania pennanti	Pekania	Mustelidae	Carnivora	Mammalia	3249	0	330	1384	1535
30554	Taxidea taxus	Taxidea	Mustelidae	Carnivora	Mammalia	3275	0	162	1752	1361
62698	Odobenus rosmarus	Odobenus	Odobenidae	Carnivora	Mammalia	3303	3303	0	0	3303
29084	Arctocephalus forsteri	Arctocephalus	Otariidae	Carnivora	Mammalia	3074	0	2091	485	498
37191	Arctocephalus pusillus	Arctocephalus	Otariidae	Carnivora	Mammalia	3322	0	389	1495	1438
161921	Arctocephalus townsendi	Arctocephalus	Otariidae	Carnivora	Mammalia	3305	0	347	1477	1481
34884	Callorhinus ursinus	Callorhinus	Otariidae	Carnivora	Mammalia	3325	0	1021	1273	1031
34886	Eumetopias jubatus	Eumetopias	Otariidae	Carnivora	Mammalia	3319	0	905	1252	1162
161930	Neophoca cinerea	Neophoca	Otariidae	Carnivora	Mammalia	3338	0	508	1478	1352
34888	Phocarctos hookeri	Phocarctos	Otariidae	Carnivora	Mammalia	3336	0	568	1330	1438
9704	Zalophus californianus	Zalophus	Otariidae	Carnivora	Mammalia	3327	3327	0	0	3327
39293	Cystophora cristata	Cystophora	Phocidae	Carnivora	Mammalia	3382	0	395	1556	1431
39304	Erignathus barbatus	Erignathus	Phocidae	Carnivora	Mammalia	3331	0	312	1646	1373
9711	Halichoerus grypus	Halichoerus	Phocidae	Carnivora	Mammalia	3351	3351	0	0	3351
29086	Hydrurga leptonyx	Hydrurga	Phocidae	Carnivora	Mammalia	3312	0	612	1493	1207
9713	Leptonychotes weddellii	Leptonychotes	Phocidae	Carnivora	Mammalia	3312	0	756	1389	1167
101849	Lobodon carcinophaga	Lobodon	Phocidae	Carnivora	Mammalia	3343	0	416	1715	1212
9715	Mirounga leonina	Mirounga	Phocidae	Carnivora	Mammalia	3384	0	290	1945	1149
29088	Neomonachus schauinslandi	Neomonachus	Phocidae	Carnivora	Mammalia	3342	0	248	1814	1280
39088	Phoca fasciata	Phoca	Phocidae	Carnivora	Mammalia	3330	0	395	1582	1353
39089	Phoca groenlandica	Phoca	Phocidae	Carnivora	Mammalia	3301	0	328	1577	1396
39090	Phoca largha	Phoca	Phocidae	Carnivora	Mammalia	3331	0	1557	855	919
9720	Phoca vitulina	Phoca	Phocidae	Carnivora	Mammalia	3356	0	870	1240	1246
693431	Pusa caspica	Pusa	Phocidae	Carnivora	Mammalia	3339	0	989	1095	1255
9718	Pusa hispida	Pusa	Phocidae	Carnivora	Mammalia	3342	0	2090	604	648
9719	Pusa sibirica	Pusa	Phocidae	Carnivora	Mammalia	3346	0	1093	1073	1180
9654	Procyon lotor	Procyon	Procyonidae	Carnivora	Mammalia	3316	3316	0	0	3316
9646	Ailuropoda melanoleuca	Ailuropoda	Ursidae	Carnivora	Mammalia	3351	0	568	1845	938
551196	Arctodus simus	Arctodus	Ursidae	Carnivora	Mammalia	3342	0	357	1682	1303
1825730	Arctotherium sp.	Arctotherium	Ursidae	Carnivora	Mammalia	3298	0	235	1613	1450
9634	Helarctos malayanus	Helarctos	Ursidae	Carnivora	Mammalia	3348	3348	0	0	3348
9636	Melursus ursinus	Melursus	Ursidae	Carnivora	Mammalia	3355	0	813	1164	1378
9638	Tremarctos ornatus	Tremarctos	Ursidae	Carnivora	Mammalia	3344	0	247	1529	1568
9643	Ursus americanus	Ursus	Ursidae	Carnivora	Mammalia	3359	0	2536	466	357
9644	Ursus arctos	Ursus	Ursidae	Carnivora	Mammalia	3394	0	1513	1012	869
29073	Ursus maritimus	Ursus	Ursidae	Carnivora	Mammalia	3395	0	497	1494	1404
39097	Ursus spelaeus	Ursus	Ursidae	Carnivora	Mammalia	3346	0	1756	884	706
9642	Ursus thibetanus	Ursus	Ursidae	Carnivora	Mammalia	3398	0	1761	831	806
94961	Mystacina tuberculata	Mystacina	Mystacinidae	Chiroptera	Mammalia	3348	3348	0	0	3348
9417	Artibeus jamaicensis	Artibeus	Phyllostomidae	Chiroptera	Mammalia	3321	3321	0	0	3321
126282	Pteropus dasymallus	Pteropus	Pteropodidae	Chiroptera	Mammalia	3331	0	116	1569	1646
94117	Pteropus scapulatus	Pteropus	Pteropodidae	Chiroptera	Mammalia	3339	0	142	1629	1568
9407	Rousettus aegyptiacus	Rousettus	Pteropodidae	Chiroptera	Mammalia	3332	3332	0	0	3332
472238	Rhinolophus formosae	Rhinolophus	Rhinolophidae	Chiroptera	Mammalia	3373	0	102	1636	1635
169756	Rhinolophus monoceros	Rhinolophus	Rhinolophidae	Chiroptera	Mammalia	3361	0	80	1417	1864
159859	Rhinolophus pumilus	Rhinolophus	Rhinolophidae	Chiroptera	Mammalia	3365	3365	0	0	3365
143942	Chalinolobus tuberculatus	Chalinolobus	Vespertilionidae	Chiroptera	Mammalia	3355	0	96	2149	1110
105295	Pipistrellus abramus	Pipistrellus	Vespertilionidae	Chiroptera	Mammalia	3386	3386	0	0	3386
1849957	Doedicurus sp.	Doedicurus	Chlamyphoridae	Cingulata	Mammalia	3178	3178	0	0	3178
9361	Dasypus novemcinctus	Dasypus	Dasypodidae	Cingulata	Mammalia	3402	3402	0	0	3402
55782	Myrmecobius fasciatus	Myrmecobius	Myrmecobiidae	Dasyuromorphia	Mammalia	3354	3354	0	0	3354
9275	Thylacinus cynocephalus	Thylacinus	Thylacinidae	Dasyuromorphia	Mammalia	3473	3473	0	0	3473
482537	Galeopterus variegatus	Galeopterus	Cynocephalidae	Dermoptera	Mammalia	3341	3341	0	0	3341
9321	Osphranter rufus	Osphranter	Macropodidae	Diprotodontia	Mammalia	3394	3394	0	0	3394
34899	Petaurus breviceps	Petaurus	Petauridae	Diprotodontia	Mammalia	3212	3212	0	0	3212
38626	Phascolarctos cinereus	Phascolarctos	Phascolarctidae	Diprotodontia	Mammalia	3263	3263	0	0	3263
9333	Pseudocheirus peregrinus	Pseudocheirus	Pseudocheiridae	Diprotodontia	Mammalia	3196	3196	0	0	3196
38632	Tarsipes rostratus	Tarsipes	Tarsipedidae	Diprotodontia	Mammalia	3140	3140	0	0	3140
162630	Echinosorex gymnura	Echinosorex	Erinaceidae	Eulipotyphla	Mammalia	3409	0	94	2698	617
9365	Erinaceus europaeus	Erinaceus	Erinaceidae	Eulipotyphla	Mammalia	3481	3481	0	0	3481
217708	Hemiechinus auritus	Hemiechinus	Erinaceidae	Eulipotyphla	Mammalia	3448	0	106	2829	513
