taxid	species	genus	family	order	class	origin_probe_sequences	tiling_probe_sequences	kmer_filter_removed	eprobe_filter_removed	filtered_probe_retained
9593	Gorilla gorilla	Gorilla	Hominidae	Primates	Mammalia	3264	0	690	1058	1516
9606	Homo sapiens	Homo	Hominidae	Primates	Mammalia	3305	0	1630	645	1030
9597	Pan paniscus	Pan	Hominidae	Primates	Mammalia	3304	0	1245	879	1180
9598	Pan troglodytes	Pan	Hominidae	Primates	Mammalia	3302	0	887	999	1416
9601	Pongo abelii	Pongo	Hominidae	Primates	Mammalia	3291	0	53	1082	2156
9600	Pongo pygmaeus	Pongo	Hominidae	Primates	Mammalia	3269	0	42	1020	2207
9580	Hylobates lar	Hylobates	Hylobatidae	Primates	Mammalia	3286	3286	0	0	3286
379532	Propithecus coquereli	Propithecus	Indriidae	Primates	Mammalia	3412	3412	0	0	3412
34828	Eulemur mongoz	Eulemur	Lemuridae	Primates	Mammalia	3328	0	88	1962	1278
9447	Lemur catta	Lemur	Lemuridae	Primates	Mammalia	3408	3408	0	0	3408
9470	Nycticebus coucang	Nycticebus	Lorisidae	Primates	Mammalia	3344	3344	0	0	3344
9477	Cephalopachus bancanus	Cephalopachus	Tarsiidae	Primates	Mammalia	3377	3377	0	0	3377
9783	Elephas maximus	Elephas	Elephantidae	Proboscidea	Mammalia	3372	3372	0	0	3372
9785	Loxodonta africana	Loxodonta	Elephantidae	Proboscidea	Mammalia	3364	0	2912	290	162
39053	Mammut americanum	Mammut	Elephantidae	Proboscidea	Mammalia	3285	0	621	1663	1001
1027716	Mammuthus columbi	Mammuthus	Elephantidae	Proboscidea	Mammalia	3283	0	631	1686	966
37349	Mammuthus primigenius	Mammuthus	Elephantidae	Proboscidea	Mammalia	3344	0	856	1576	912
359030	Anomalurus sp. GP-2005	Anomalurus	Anomaluridae	Rodentia	Mammalia	3376	3376	0	0	3376
51338	Castor canadensis	Castor	Castoridae	Rodentia	Mammalia	3345	0	112	1537	1696
10185	Castor fiber	Castor	Castoridae	Rodentia	Mammalia	3394	0	198	1632	1564
10141	Cavia porcellus	Cavia	Caviidae	Rodentia	Mammalia	3351	3351	0	0	3351
100899	Alexandromys kikuchii	Alexandromys	Cricetidae	Rodentia	Mammalia	3254	0	128	1493	1633
10029	Cricetulus griseus	Cricetulus	Cricetidae	Rodentia	Mammalia	3248	3248	0	0	3248
85953	Dicrostonyx groenlandicus	Dicrostonyx	Cricetidae	Rodentia	Mammalia	3259	0	1136	1143	980
85952	Dicrostonyx torquatus	Dicrostonyx	Cricetidae	Rodentia	Mammalia	3258	0	1220	1097	941
537919	Microtus rossiaemeridionalis	Microtus	Cricetidae	Rodentia	Mammalia	3248	0	128	1711	1409
10041	Peromyscus leucopus	Peromyscus	Cricetidae	Rodentia	Mammalia	3256	0	1611	1109	536
51337	Jaculus jaculus	Jaculus	Dipodidae	Rodentia	Mammalia	3300	3300	0	0	3300
41261	Glis glis	Glis	Gliridae	Rodentia	Mammalia	3312	3312	0	0	3312
10090	Mus musculus	Mus	Muridae	Rodentia	Mammalia	3250	0	2371	584	295
254704	Mus terricolor	Mus	Muridae	Rodentia	Mammalia	3252	0	78	2249	925
34854	Rattus exulans	Rattus	Muridae	Rodentia	Mammalia	3253	0	978	1445	830
10116	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	3254	0	626	1618	1010
349711	Rattus praetor	Rattus	Muridae	Rodentia	Mammalia	3250	0	54	1947	1249
10117	Rattus rattus	Rattus	Muridae	Rodentia	Mammalia	3251	0	94	2059	1098
35732	Rattus tanezumi	Rattus	Muridae	Rodentia	Mammalia	3252	0	1445	1209	598
55149	Sciurus vulgaris	Sciurus	Sciuridae	Rodentia	Mammalia	3293	3293	0	0	3293
30637	Nannospalax ehrenbergi	Nannospalax	Spalacidae	Rodentia	Mammalia	3273	3273	0	0	3273
10169	Thryonomys swinderianus	Thryonomys	Thryonomyidae	Rodentia	Mammalia	3316	3316	0	0	3316
37347	Tupaia belangeri	Tupaia	Tupaiidae	Scandentia	Mammalia	3342	3342	0	0	3342
29137	Dugong dugon	Dugong	Dugongidae	Sirenia	Mammalia	3360	3360	0	0	3360
9778	Trichechus manatus	Trichechus	Trichechidae	Sirenia	Mammalia	3368	3368	0	0	3368
9818	Orycteropus afer	Orycteropus	Orycteropodidae	Tubulidentata	Mammalia	3354	3354	0	0	3354
